in:GR,in:ST,in:LRR,in:R,out:GR,out:ST,out:LRR,out:R,img
1.6,15,3.0,10,1.6,15,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR0_ST0_LRR0_R0_SIDE_.png
1.7,15,3.0,10,1.7,15,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR1_ST0_LRR0_R0_SIDE_.png
1.8,15,3.0,10,1.8,15,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR2_ST0_LRR0_R0_SIDE_.png
1.9,15,3.0,10,1.9,15,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR3_ST0_LRR0_R0_SIDE_.png
2.0,15,3.0,10,2.0,15,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR4_ST0_LRR0_R0_SIDE_.png
2.1,15,3.0,10,2.1,15,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR5_ST0_LRR0_R0_SIDE_.png
1.6,16,3.0,10,1.6,16,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR0_ST1_LRR0_R0_SIDE_.png
1.7,16,3.0,10,1.7,16,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR1_ST1_LRR0_R0_SIDE_.png
1.8,16,3.0,10,1.8,16,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR2_ST1_LRR0_R0_SIDE_.png
1.9,16,3.0,10,1.9,16,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR3_ST1_LRR0_R0_SIDE_.png
2.0,16,3.0,10,2.0,16,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR4_ST1_LRR0_R0_SIDE_.png
2.1,16,3.0,10,2.1,16,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR5_ST1_LRR0_R0_SIDE_.png
1.6,17,3.0,10,1.6,17,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR0_ST2_LRR0_R0_SIDE_.png
1.7,17,3.0,10,1.7,17,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR1_ST2_LRR0_R0_SIDE_.png
1.8,17,3.0,10,1.8,17,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR2_ST2_LRR0_R0_SIDE_.png
1.9,17,3.0,10,1.9,17,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR3_ST2_LRR0_R0_SIDE_.png
2.0,17,3.0,10,2.0,17,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR4_ST2_LRR0_R0_SIDE_.png
2.1,17,3.0,10,2.1,17,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR5_ST2_LRR0_R0_SIDE_.png
1.6,18,3.0,10,1.6,18,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR0_ST3_LRR0_R0_SIDE_.png
1.7,18,3.0,10,1.7,18,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR1_ST3_LRR0_R0_SIDE_.png
1.8,18,3.0,10,1.8,18,3.0,10,SEA_SNAIL_ARCTIC_SIDE_GR2_ST3_LRR0_R0_SIDE_.png
